EmployeeID,Age,Experience,Salary,Rating,Department,Gender,Education,Region,Projects
E001,25,2,4200,,IT,M,Bachelor,Addis,3
E002,29,5,,4.2,Marketing,F,Master,Adama,4
E003,31,7,,4.5,Marketing,M,Master,BahirDar,5
E004,26,3,4600,,HR,F,Bachelor,Hawassa,2
E005,34,9,7200,4.8,IT,M,PhD,Addis,6
E006,28,4,,4.0,Marketing,F,Bachelor,Mekelle,3
E007,30,6,6100,4.3,Finance,M,Master,Addis,4
E008,27,4,,3.9,Marketing,F,Bachelor,Adama,2
E009,33,8,6900,4.7,IT,M,Master,BahirDar,5
E010,24,1,3900,,HR,F,Bachelor,Hawassa,1
E011,36,10,8000,4.9,Finance,M,PhD,Addis,7
E012,29,5,,4.1,Marketing,F,Master,Mekelle,4
E013,32,7,6500,4.4,IT,M,Bachelor,Adama,5
E014,28,4,,4.0,Marketing,F,Bachelor,Addis,3
E015,35,9,7300,4.8,Finance,M,PhD,BahirDar,6
E016,26,3,4500,,HR,F,Bachelor,Hawassa,2
E017,31,6,6200,4.3,IT,M,Master,Addis,4
E018,27,4,,3.8,Marketing,F,Bachelor,Mekelle,2
E019,33,8,7000,4.6,Finance,M,Master,Adama,5
E020,30,6,,4.2,Marketing,F,Master,BahirDar,4