Age,Experience,Salary,Department,Education,Projects,Rating,LeftCompany
25,2,40000,IT,Bachelor,3,4.2,No
30,5,52000,Sales,Master,5,4.5,No
35,7,,IT,Bachelor,6,4.8,No
28,3,45000,Marketing,Bachelor,4,,No
40,10,80000,Management,PhD,8,4.9,No
23,1,38000,IT,Bachelor,2,3.8,Yes
32,6,61000,Sales,Master,5,4.3,No
29,,48000,Marketing,Bachelor,4,4.1,No
45,15,95000,Management,PhD,10,5.0,No
27,3,,IT,Bachelor,3,4.0,Yes
34,8,67000,Sales,Master,6,4.4,No
31,5,59000,Marketing,Master,5,,No
26,2,42000,IT,Bachelor,3,3.9,Yes
38,12,82000,Management,PhD,9,4.7,No
29,4,50000,Sales,Bachelor,4,4.2,No
33,7,64000,Marketing,Master,6,4.3,No
41,11,87000,Management,PhD,8,4.8,No
24,1,39000,IT,Bachelor,2,3.7,Yes
36,9,72000,Sales,Master,7,4.5,No
28,3,46000,Marketing,Bachelor,4,4.0,No